epoch,accuracy,loss,top_3_accuracy,val_accuracy,val_loss,val_top_3_accuracy
0,0.18055999279022217,3.490609884262085,0.34064000844955444,0.1899999976158142,3.4019222259521484,0.35670000314712524
1,0.32868000864982605,2.6190366744995117,0.5461000204086304,0.3018999993801117,2.808062791824341,0.5080999732017517
2,0.41317999362945557,2.2189574241638184,0.6368200182914734,0.3716999888420105,2.4366838932037354,0.5845999717712402
3,0.47053998708724976,1.9587494134902954,0.694599986076355,0.4113999903202057,2.2247650623321533,0.632099986076355
4,0.512660026550293,1.7764803171157837,0.7345200181007385,0.44130000472068787,2.127406358718872,0.6600000262260437
5,0.5514600276947021,1.6196821928024292,0.7666400074958801,0.41110000014305115,2.2981200218200684,0.6194999814033508
6,0.5839999914169312,1.4828256368637085,0.7949399948120117,0.44530001282691956,2.124191999435425,0.6636000275611877
7,0.6129599809646606,1.371652364730835,0.816540002822876,0.44780001044273376,2.1510181427001953,0.6639999747276306
8,0.6412000060081482,1.2572680711746216,0.8377000093460083,0.44679999351501465,2.1846134662628174,0.6635000109672546
9,0.6670600175857544,1.1569437980651855,0.8572400212287903,0.4300999939441681,2.306159257888794,0.6531999707221985
